time, Quad.IMU.AX
0.005000,0.552125
0.010000,0.074002
0.015000,0.523563
0.020000,-0.426176
0.025000,0.916743
0.030000,-0.295618
0.035000,0.184364
0.040000,-0.566702
0.045000,0.314131
0.050000,-1.080225
0.055000,0.008201
0.060000,0.419944
0.065000,-0.787765
0.070000,0.990385
0.075000,0.617246
0.080000,0.198741
0.085000,0.519587
0.090000,0.792173
0.095000,-0.011464
0.100000,0.861484
0.105000,1.078094
0.110000,0.337731
0.115000,0.071290
0.120000,-0.130443
0.125000,-0.090916
0.130000,-1.001066
0.135000,-0.065762
0.140000,0.064309
0.145000,0.403376
0.150000,0.235177
0.155000,-0.635164
0.160000,0.409141
0.165000,-0.113110
0.170000,0.272913
0.175000,0.837004
0.180000,0.014164
0.185000,-0.696655
0.190000,-0.727465
0.195000,-0.068947
0.200000,0.651634
0.205000,-0.704093
0.210000,-0.537657
0.215000,0.119103
0.220000,-0.780316
0.225000,-0.221003
0.230000,0.045710
0.235000,-0.332421
0.240000,-0.282801
0.245000,-0.565900
0.250000,-0.108720
0.255000,-0.712183
0.260000,0.172653
0.265000,-0.286136
0.270000,-0.423157
0.275000,-0.517299
0.280000,0.081478
0.285000,0.247407
0.290000,-0.523000
0.295000,-0.284861
0.300000,-0.030145
0.305000,-0.309562
0.310000,0.604162
0.314999,-0.014136
0.319999,0.538256
0.324999,0.528556
0.329999,0.603996
0.334999,-0.100874
0.339999,-0.258510
0.344999,-0.031575
0.349999,-0.611603
0.354999,-0.191190
0.359999,0.132435
0.364999,0.507680
0.369999,1.160649
0.374999,0.261284
0.379999,-0.181002
0.384999,-0.632224
0.389999,0.281742
0.394998,0.170511
0.399998,-0.024245
0.404998,-0.829532
0.409998,0.235151
0.414998,-0.226677
0.419998,0.438674
0.424998,0.099576
0.429998,-0.540915
0.434998,-0.319679
0.439998,-0.208942
0.444998,0.060934
0.449998,-0.978842
0.454998,-1.204005
0.459998,0.051997
0.464998,0.374042
0.469997,-0.548168
0.474997,-0.489962
0.479997,0.904138
0.484997,0.209327
0.489997,-0.603640
0.494997,-0.104184
